iter=87 terr=0.09254 serr=0.76939 act=1141248 obj=236704.77090 diff=0.00311
iter=88 terr=0.09236 serr=0.76881 act=1141248 obj=236213.01116 diff=0.00208
iter=89 terr=0.09139 serr=0.76761 act=1141248 obj=234106.50021 diff=0.00892
iter=90 terr=0.09168 serr=0.77049 act=1141248 obj=231133.47600 diff=0.01270
iter=91 terr=0.08792 serr=0.75853 act=1141248 obj=224438.35496 diff=0.02897
iter=92 terr=0.08784 serr=0.75732 act=1141248 obj=223386.54883 diff=0.00469
iter=93 terr=0.08705 serr=0.75564 act=1141248 obj=221472.85668 diff=0.00857
iter=94 terr=0.08667 serr=0.75339 act=1141248 obj=220652.33485 diff=0.00370
iter=95 terr=0.08638 serr=0.75328 act=1141248 obj=219666.62587 diff=0.00447
iter=96 terr=0.08523 serr=0.75139 act=1141248 obj=218098.61159 diff=0.00714
iter=97 terr=0.08460 serr=0.74840 act=1141248 obj=216074.66656 diff=0.00928
iter=98 terr=0.08379 serr=0.74588 act=1141248 obj=214402.06859 diff=0.00774
iter=99 terr=0.08593 serr=0.75013 act=1141248 obj=222328.91471 diff=0.03697
iter=100 terr=0.08314 serr=0.74394 act=1141248 obj=213438.52533 diff=0.03999
iter=101 terr=0.08231 serr=0.74005 act=1141248 obj=212383.97290 diff=0.00494
iter=102 terr=0.08185 serr=0.73953 act=1141248 obj=211450.75244 diff=0.00439
iter=103 terr=0.08100 serr=0.73733 act=1141248 obj=209318.01535 diff=0.01009
iter=104 terr=0.08030 serr=0.73607 act=1141248 obj=206966.40072 diff=0.01123
iter=105 terr=0.08002 serr=0.73890 act=1141248 obj=207948.18276 diff=0.00474
iter=106 terr=0.07912 serr=0.73512 act=1141248 obj=205213.45810 diff=0.01315
iter=107 terr=0.07880 serr=0.73591 act=1141248 obj=203186.10774 diff=0.00988
iter=108 terr=0.07840 serr=0.73418 act=1141248 obj=202216.16300 diff=0.00477
iter=109 terr=0.07793 serr=0.73297 act=1141248 obj=201438.25902 diff=0.00385
iter=110 terr=0.07691 serr=0.72893 act=1141248 obj=199423.60870 diff=0.01000
iter=111 terr=0.07588 serr=0.72604 act=1141248 obj=197298.17451 diff=0.01066
iter=112 terr=0.07509 serr=0.72279 act=1141248 obj=195842.42848 diff=0.00738
iter=113 terr=0.07535 serr=0.72221 act=1141248 obj=195664.98096 diff=0.00091
iter=114 terr=0.07449 serr=0.71959 act=1141248 obj=194298.83392 diff=0.00698
